"","ones","dem","rep","female","age","BA"
"246",1,1,0,1,29,1
"247",1,0,1,1,42,1
"248",1,1,0,0,33,1
"249",1,0,1,0,55,1
"250",1,1,0,0,45,0
"251",1,0,0,0,44,1
"252",1,1,0,0,51,1
"253",1,1,0,1,25,1
"254",1,1,0,1,32,0
"255",1,0,1,0,36,1
"256",1,0,1,0,45,1
"257",1,0,0,0,38,1
"258",1,1,0,0,34,1
"259",1,1,0,0,34,1
"260",1,0,0,0,40,1
"261",1,0,0,0,30,1
"262",1,1,0,0,29,1
"263",1,1,0,0,38,1
"264",1,0,1,1,13,0
"265",1,0,1,0,43,1
"266",1,1,0,1,15,1
"267",1,0,1,0,40,0
"268",1,1,0,1,38,1
"269",1,1,0,0,33,0
"270",1,1,0,0,20,1
"271",1,0,0,0,46,0
"272",1,1,0,1,34,0
"273",1,0,1,1,38,0
"274",1,1,0,0,20,1
"275",1,1,0,1,52,1
"276",1,1,0,0,48,1
"277",1,0,0,0,41,1
"278",1,1,0,1,43,1
"279",1,1,0,1,40,1
"280",1,1,0,1,41,1
"281",1,1,0,1,40,1
"282",1,0,0,1,31,1
"283",1,0,0,0,42,1
"284",1,1,0,0,34,0
"285",1,1,0,0,37,1
"286",1,1,0,0,41,1
"287",1,0,0,0,28,1
"288",1,0,0,1,35,1
"289",1,1,0,1,44,1
"290",1,1,0,1,40,1
"291",1,0,1,1,23,0
"292",1,0,1,1,65,0
"293",1,0,0,1,52,0
"294",1,1,0,1,50,1
"295",1,1,0,1,43,1
"296",1,0,1,0,32,1
"297",1,0,1,1,32,1
"298",1,1,0,1,29,1
"299",1,0,1,0,32,1
"300",1,1,0,0,38,1
"301",1,1,0,1,48,1
"302",1,1,0,1,43,1
"303",1,1,0,1,33,1
"304",1,0,0,0,41,0
"305",1,1,0,1,29,0
"306",1,0,0,1,11,0
"307",1,1,0,1,21,0
"308",1,0,0,1,34,0
"309",1,0,1,0,27,1
"310",1,1,0,1,23,1
"311",1,0,1,0,33,1
"312",1,1,0,1,26,1
"313",1,0,0,0,35,1
"314",1,0,1,0,40,1
"315",1,1,0,1,29,1
"316",1,0,0,0,40,0
"317",1,1,0,0,33,1
"318",1,1,0,0,22,1
"319",1,0,0,1,31,1
"320",1,0,1,0,35,0
"321",1,1,0,0,27,1
"322",1,1,0,1,35,1
"323",1,1,0,1,40,1
"324",1,0,1,0,8,0
"325",1,0,1,0,38,1
"326",1,0,0,1,40,0
"327",1,1,0,1,33,1
"328",1,1,0,0,36,0
"329",1,1,0,1,44,0
"330",1,0,1,1,39,0
"331",1,1,0,1,21,1
"332",1,0,1,1,58,0
"333",1,0,0,0,53,1
"334",1,0,0,0,59,0
"335",1,0,1,0,63,0
"336",1,1,0,0,26,0
"337",1,1,0,0,29,1
"338",1,0,0,0,39,1
"339",1,0,1,0,44,1
"340",1,0,0,1,37,1
"341",1,1,0,0,33,1
"342",1,1,0,1,28,1
"343",1,0,1,1,27,1
"344",1,1,0,0,27,1
"345",1,1,0,0,28,1
"346",1,1,0,1,29,1
"347",1,1,0,0,48,1
"348",1,1,0,1,31,1
"349",1,0,0,1,38,0
"350",1,1,0,0,56,1
"351",1,1,0,0,59,1
"352",1,1,0,0,26,1
"353",1,0,1,0,30,1
"354",1,0,1,0,31,0
"355",1,1,0,1,37,1
"356",1,0,1,0,27,1
"357",1,1,0,1,22,1
"358",1,1,0,0,23,1
"359",1,1,0,0,53,1
"360",1,1,0,0,23,1
"361",1,0,0,0,32,0
"362",1,0,1,0,41,0
"363",1,1,0,1,43,0
"364",1,1,0,1,41,1
"365",1,1,0,1,37,1
"366",1,1,0,0,45,1
"367",1,0,0,0,19,0
"368",1,0,1,0,50,1
"369",1,1,0,0,40,0
"370",1,0,1,1,33,1
"371",1,0,0,0,27,0
"372",1,1,0,1,44,1
"373",1,1,0,0,34,1
"374",1,1,0,1,26,1
"375",1,1,0,0,27,1
"376",1,0,1,0,28,1
"377",1,1,0,1,32,0
"378",1,0,0,1,42,1
"379",1,0,1,0,36,1
"380",1,1,0,1,53,1
"381",1,0,0,1,37,0
"382",1,1,0,1,32,1
"383",1,0,1,1,22,0
"384",1,1,0,1,29,1
"385",1,0,0,1,36,0
"386",1,0,1,0,37,1
"387",1,0,1,1,48,1
"388",1,1,0,1,29,1
"389",1,1,0,0,24,0
"390",1,1,0,0,38,1
"391",1,1,0,1,39,1
"392",1,0,0,0,41,1
"393",1,0,1,0,14,1
"394",1,1,0,1,21,0
"395",1,1,0,1,50,1
"396",1,0,1,0,42,1
"397",1,1,0,1,24,1
"398",1,0,1,0,42,1
"399",1,1,0,1,28,1
"400",1,0,0,1,42,0
"401",1,0,0,1,40,1
"402",1,1,0,1,22,1
"403",1,1,0,0,43,1
"404",1,1,0,1,53,1
"405",1,1,0,0,34,1
"406",1,1,0,1,46,0
"407",1,0,1,0,48,0
"408",1,0,1,0,49,1
"409",1,0,0,0,44,1
"410",1,0,1,1,34,1
"411",1,0,0,0,25,1
"412",1,0,1,0,18,1
"413",1,0,1,0,37,1
"414",1,0,0,0,39,0
"415",1,1,0,0,32,0
"416",1,1,0,1,35,1
"417",1,0,1,1,22,1
"418",1,1,0,1,46,1
"419",1,0,0,0,38,1
"420",1,0,0,1,39,1
"421",1,0,1,0,51,1
"422",1,0,0,1,41,1
"423",1,0,0,0,55,1
"424",1,0,0,0,34,1
"425",1,0,1,0,38,0
"426",1,0,0,1,23,1
"427",1,1,0,1,35,1
"428",1,0,0,0,36,1
"429",1,1,0,0,25,1
"430",1,1,0,0,52,0
"431",1,0,0,0,42,1
"432",1,0,0,1,27,0
"433",1,0,0,1,61,0
"434",1,0,0,1,30,0
"435",1,0,0,1,42,0
"436",1,0,1,0,29,1
"437",1,1,0,0,53,1
"438",1,0,1,0,33,1
"439",1,0,0,1,49,0
"440",1,1,0,1,51,1
"441",1,1,0,1,41,0
"442",1,0,1,0,21,1
"443",1,0,1,0,36,1
"444",1,0,0,1,57,0
"445",1,0,1,0,19,0
"446",1,0,1,0,45,1
"447",1,1,0,0,46,0
"448",1,0,1,0,66,1
"449",1,0,0,0,39,1
"450",1,0,1,1,40,0
"451",1,1,0,1,44,1
"452",1,0,1,0,16,0
"453",1,1,0,1,33,0
"454",1,1,0,1,43,1
"455",1,0,0,1,31,0
"456",1,0,0,0,35,1
"457",1,0,1,0,29,1
"458",1,0,1,0,33,1
"459",1,0,1,0,37,0
"460",1,1,0,0,33,1
"461",1,0,0,0,29,1
"462",1,0,0,1,56,1
"463",1,0,1,0,35,1
"464",1,0,1,0,14,0
"465",1,0,1,0,14,1
"466",1,0,1,0,40,0
"467",1,0,1,0,42,0
"468",1,1,0,1,36,0
"469",1,1,0,0,72,1
"470",1,0,1,1,22,1
"471",1,0,1,0,38,1
"472",1,0,0,0,64,1
"473",1,0,0,1,32,0
"474",1,0,1,0,64,1
"475",1,0,1,0,14,1
"476",1,0,1,1,28,0
"477",1,1,0,0,27,0
"478",1,0,1,1,54,0
"479",1,1,0,1,35,1
"480",1,0,0,0,36,0
"481",1,0,0,0,51,1
"482",1,0,1,0,43,1
"483",1,1,0,1,37,0
"484",1,1,0,0,39,0
"485",1,1,0,1,43,1
"486",1,1,0,0,45,0
"487",1,0,0,0,45,1
"488",1,0,0,0,56,1
"489",1,0,1,0,49,1
"490",1,0,0,1,38,0
"491",1,0,0,0,20,0
"492",1,0,0,0,50,0
"493",1,1,0,1,65,1
"494",1,0,1,0,38,1
"495",1,1,0,1,31,1
"496",1,1,0,1,19,1
"497",1,0,0,1,54,0
"498",1,1,0,0,36,1
"499",1,1,0,0,27,0
"500",1,0,1,0,38,0
"501",1,1,0,1,43,0
"502",1,1,0,1,47,0
"503",1,1,0,0,30,0
"504",1,0,1,0,32,1
"505",1,1,0,0,21,1
"506",1,1,0,0,24,1
"507",1,0,0,0,32,1
"508",1,0,0,0,49,1
"509",1,1,0,1,65,1
"510",1,0,1,0,18,1
"511",1,0,0,0,49,1
"512",1,0,1,0,39,1
"513",1,1,0,0,34,1
"514",1,0,0,0,13,0
"515",1,0,0,0,28,1
"516",1,0,0,0,33,1
"517",1,1,0,0,38,0
"518",1,0,1,1,42,0
"519",1,0,0,0,62,1
"520",1,0,1,0,29,0
"521",1,1,0,0,24,1
"522",1,1,0,1,55,0
"523",1,1,0,1,30,1
"524",1,0,1,0,47,0
"525",1,0,1,1,21,0
"526",1,0,1,0,28,0
"527",1,0,1,0,35,0
"528",1,0,0,0,35,1
"529",1,1,0,0,41,0
"530",1,0,0,0,27,0
"531",1,0,1,1,36,1
"532",1,0,1,0,45,1
"533",1,1,0,0,20,0
"534",1,0,1,0,45,1
"535",1,0,1,0,38,1
"536",1,0,0,0,66,1
"537",1,0,0,0,36,1
"538",1,0,1,1,24,0
"539",1,0,0,0,43,1
"540",1,0,1,0,66,1
"541",1,1,0,0,53,0
"542",1,0,1,1,38,1
"543",1,0,1,0,44,1
"544",1,0,1,0,42,0
"545",1,1,0,0,29,1
"546",1,1,0,1,42,1
"547",1,0,1,0,42,0
"548",1,1,0,0,38,0
"549",1,0,1,0,17,0
"550",1,0,1,1,64,0
"551",1,0,0,1,20,1
"552",1,1,0,0,45,1
"553",1,1,0,0,70,1
"554",1,1,0,0,28,1
"555",1,0,1,0,30,1
"556",1,1,0,1,19,0
"557",1,0,0,0,22,1
"558",1,0,1,0,21,0
"559",1,0,1,1,59,1
"560",1,1,0,0,35,1
"561",1,1,0,0,29,1
"562",1,1,0,0,25,1
"563",1,1,0,1,16,1
"564",1,1,0,1,41,1
"565",1,0,1,0,43,1
"566",1,1,0,1,33,0
"567",1,0,0,1,27,1
"568",1,0,1,0,45,1
"569",1,0,1,1,38,0
"570",1,0,0,1,24,1
"571",1,0,0,0,15,1
"572",1,1,0,1,31,1
"573",1,0,0,1,47,0
"574",1,1,0,1,69,1
"575",1,1,0,0,30,1
"576",1,0,1,0,35,0
"577",1,0,0,1,59,1
"578",1,0,0,1,31,1
"579",1,0,0,0,37,0
"580",1,1,0,0,50,1
"581",1,1,0,0,39,1
"582",1,0,1,1,30,0
"583",1,1,0,0,43,1
"584",1,0,0,0,58,1
"585",1,1,0,0,46,1
"586",1,0,0,0,24,0
"587",1,1,0,1,40,1
"588",1,1,0,0,31,1
"589",1,1,0,0,38,1
"590",1,1,0,0,67,1
"591",1,1,0,0,43,1
"592",1,0,0,1,26,1
"593",1,0,0,1,18,1
"594",1,1,0,0,38,1
"595",1,0,1,0,31,0
"596",1,1,0,1,14,0
"597",1,0,0,0,33,1
"598",1,1,0,0,56,1
"599",1,1,0,0,54,1
"600",1,1,0,0,50,0
"601",1,1,0,0,35,1
"602",1,1,0,0,36,1
"603",1,0,1,0,36,0
"604",1,1,0,1,16,0
"605",1,0,0,0,35,1
"606",1,1,0,0,50,1
"607",1,1,0,0,29,1
"608",1,1,0,0,54,1
"609",1,1,0,0,47,1
"610",1,1,0,1,69,1
"611",1,1,0,0,32,1
"612",1,1,0,1,18,1
"613",1,0,0,0,31,1
"614",1,0,1,1,35,1
"615",1,0,0,0,46,0
"616",1,1,0,0,30,0
"617",1,1,0,1,5,0
"618",1,1,0,0,39,1
"619",1,0,0,0,53,1
"620",1,1,0,0,41,1
"621",1,1,0,1,30,0
"622",1,1,0,1,41,1
"623",1,1,0,1,35,0
"624",1,0,0,0,40,1
"625",1,1,0,0,27,0
"626",1,1,0,0,24,1
"627",1,0,1,0,15,1
"628",1,0,0,0,35,1
"629",1,0,0,0,36,1
"630",1,0,0,0,21,1
"631",1,1,0,1,33,1
"632",1,0,1,0,30,0
"633",1,0,0,0,28,1
"634",1,0,0,0,26,0
"635",1,1,0,1,28,1
"636",1,0,1,0,36,0
"637",1,0,0,0,45,1
"638",1,0,0,0,50,1
"639",1,1,0,1,34,1
"640",1,0,0,0,26,1
"641",1,1,0,0,36,1
"642",1,0,0,0,35,1
"643",1,1,0,0,43,1
"644",1,1,0,0,34,1
"645",1,1,0,0,47,1
"646",1,0,0,1,35,0
"647",1,0,0,0,32,1
"648",1,0,0,0,39,1
"649",1,1,0,0,39,1
"650",1,1,0,1,45,1
"651",1,0,1,0,32,1
"652",1,1,0,1,39,0
"653",1,0,1,0,45,0
"654",1,0,1,0,24,1
"655",1,0,0,0,32,1
"656",1,0,0,0,57,1
"657",1,1,0,1,27,1
"658",1,1,0,1,25,1
"659",1,0,0,0,32,0
"660",1,0,0,1,35,0
"661",1,0,1,0,33,0
"662",1,1,0,0,37,1
"663",1,0,1,1,25,0
"664",1,0,1,0,11,0
"665",1,0,0,1,29,1
"666",1,1,0,0,21,1
"667",1,0,1,0,59,1
"668",1,0,0,0,21,1
"669",1,0,1,0,35,1
"670",1,0,1,0,44,1
"671",1,1,0,1,17,1
"672",1,1,0,1,38,0
"673",1,0,1,1,33,1
"674",1,0,0,1,39,0
"675",1,0,1,1,35,0
"676",1,0,0,0,37,1
"677",1,0,0,0,57,1
"678",1,1,0,0,35,1
"679",1,0,1,1,39,1
"680",1,0,0,0,17,0
"681",1,0,1,1,18,0
"682",1,0,0,0,28,0
"683",1,0,0,0,23,1
"684",1,0,1,0,27,0
"685",1,0,0,0,24,0
"686",1,0,1,0,23,0
"687",1,0,1,0,31,0
"688",1,1,0,1,40,1
"689",1,0,1,1,24,1
"690",1,0,1,0,14,1
"691",1,0,1,1,20,1
"692",1,0,0,0,40,1
"693",1,0,0,0,45,1
"694",1,1,0,1,16,0
"695",1,0,0,0,26,1
"696",1,0,1,0,49,1
"697",1,0,1,0,34,1
"698",1,0,1,1,33,0
"699",1,1,0,0,37,1
"700",1,0,0,1,47,1
"701",1,0,0,0,21,0
"702",1,0,0,0,42,1
"703",1,0,1,1,27,0
"704",1,0,0,0,29,1
"705",1,0,1,0,26,0
"706",1,0,1,0,27,1
"707",1,0,1,0,36,1
"708",1,0,1,0,17,1
"709",1,1,0,0,40,0
"710",1,1,0,0,37,0
"711",1,0,0,0,27,1
"712",1,0,0,0,59,0
"713",1,0,1,0,38,1
"714",1,1,0,0,44,1
"715",1,0,0,0,13,1
"716",1,0,0,0,39,0
"717",1,0,0,0,43,1
"718",1,0,1,0,34,1
"719",1,1,0,0,26,1
"720",1,0,0,0,22,0
"721",1,0,0,0,35,0
"722",1,0,1,0,62,1
"723",1,0,1,0,27,0
"724",1,0,1,0,41,0
"725",1,0,1,0,37,0
"726",1,0,1,0,61,1
"727",1,0,0,0,33,1
"728",1,0,1,0,37,1
"729",1,0,0,0,22,0
"730",1,1,0,0,50,1
"731",1,1,0,1,27,1
"732",1,0,1,1,26,1
"733",1,0,1,0,31,1
"734",1,0,1,0,26,0
"735",1,0,0,0,34,1
"736",1,0,1,0,35,1
"737",1,0,1,0,19,1
"738",1,1,0,1,22,0
"739",1,0,1,1,36,1
"740",1,0,1,1,38,1
"741",1,0,0,1,51,1
"742",1,0,0,1,28,1
"743",1,0,0,0,13,0
"744",1,0,1,0,36,1
"745",1,1,0,0,42,1
"746",1,0,1,0,17,0
"747",1,0,0,0,24,1
"748",1,0,1,0,33,1
"749",1,1,0,0,23,0
"750",1,0,1,0,19,1
"751",1,0,1,0,31,1
"752",1,0,1,0,26,1
"753",1,0,0,0,30,0
"754",1,0,0,0,38,1
"755",1,0,1,0,16,0
"756",1,0,1,0,33,1
"757",1,1,0,0,34,1
"758",1,0,1,0,17,1
"759",1,0,1,0,35,1
"760",1,1,0,0,66,1
"761",1,1,0,0,67,1
"762",1,0,1,0,48,1
"763",1,0,1,0,49,1
"764",1,0,0,1,50,1
"765",1,0,1,0,28,1
"766",1,0,0,1,43,1
"767",1,0,0,1,35,1
"768",1,0,0,0,28,0
"769",1,0,1,0,10,0
"770",1,0,0,0,40,1
"771",1,0,1,0,23,0
"772",1,0,1,0,29,0
"773",1,1,0,0,20,1
"774",1,1,0,0,37,1
"775",1,1,0,0,35,1
"776",1,0,0,0,56,0
"777",1,0,1,0,26,1
"778",1,1,0,0,29,1
"779",1,0,1,1,32,1
"780",1,0,1,0,27,0
"781",1,0,1,0,49,1
"782",1,0,0,1,40,0
"783",1,0,0,0,49,1
"784",1,0,1,0,28,1
"785",1,0,1,1,27,1
"786",1,0,0,0,23,1
"787",1,0,0,0,44,0
"788",1,0,1,0,38,0
"789",1,0,0,0,46,1
"790",1,0,1,0,15,1
"791",1,0,1,0,42,0
"792",1,1,0,0,35,1
"793",1,1,0,1,12,0
"794",1,0,0,0,43,1
"795",1,0,0,0,32,0
"796",1,0,1,0,32,1
"797",1,0,1,0,45,1
"798",1,0,0,0,36,0
"799",1,1,0,0,42,0
"800",1,1,0,0,35,1
"801",1,0,0,0,32,0
"802",1,0,1,0,49,1
"803",1,0,0,0,18,1
"804",1,0,1,0,14,1
"805",1,0,1,0,35,1
"806",1,0,0,0,33,1
"807",1,0,0,1,46,1
"808",1,0,1,1,39,0
"809",1,0,1,1,38,1
"810",1,0,0,0,29,1
"811",1,0,1,1,38,1
"812",1,0,1,0,19,1
"813",1,0,1,1,25,1
"814",1,0,1,1,43,0
"815",1,0,0,0,38,1
"816",1,0,1,0,35,1
"817",1,1,0,1,28,1
"818",1,0,1,0,21,0
"819",1,0,1,0,23,1
"820",1,0,0,1,54,1
"821",1,0,1,0,37,0
"822",1,0,0,0,47,1
"823",1,0,0,1,33,0
"824",1,0,0,0,35,0
"825",1,0,1,0,54,0
"826",1,0,1,1,51,0
"827",1,0,1,1,45,1
"828",1,0,1,0,12,1
"829",1,0,0,0,54,1
"830",1,0,1,0,14,1
"831",1,0,1,0,33,1
"832",1,0,1,1,37,0
"833",1,0,1,0,31,0
"834",1,0,0,0,26,1
"835",1,1,0,1,32,0
"836",1,0,1,1,41,1
"837",1,0,1,1,22,0
"838",1,0,1,0,40,1
"839",1,0,1,0,32,1
"840",1,0,0,0,37,1
"841",1,0,1,0,26,1
"842",1,0,1,0,33,0
"843",1,0,0,0,33,0
"844",1,0,0,0,30,0
"845",1,0,0,1,32,1
"846",1,0,1,0,19,1
"847",1,0,0,0,38,1
"848",1,0,1,0,38,1
"849",1,0,1,0,41,1
"850",1,0,1,0,17,0
"851",1,0,1,1,28,1
"852",1,1,0,1,41,1
"853",1,0,0,0,39,1
"854",1,0,1,0,39,1
"855",1,0,1,0,56,1
"856",1,0,0,0,30,1
"857",1,0,1,0,37,0
"858",1,0,1,1,36,0
"859",1,1,0,1,37,1
"860",1,1,0,1,39,1
"861",1,0,0,0,24,0
"862",1,0,1,1,39,1
"863",1,1,0,0,35,0
"864",1,0,1,0,29,1
"865",1,0,1,1,39,0
"866",1,1,0,0,45,1
"867",1,0,0,0,40,1
"868",1,0,1,0,30,0
"869",1,0,1,0,39,0
"870",1,0,1,0,32,0
"871",1,0,1,0,10,1
"872",1,1,0,0,49,1
"873",1,0,1,1,40,1
"874",1,0,0,0,30,1
"875",1,0,0,1,23,1
"876",1,1,0,0,46,1
"877",1,0,0,0,23,1
"878",1,0,1,1,37,1
"879",1,1,0,1,16,1
"880",1,1,0,0,19,1
"881",1,0,1,0,30,1
"882",1,0,1,0,31,1
"883",1,0,1,0,56,0
"884",1,0,1,0,41,1
"885",1,0,1,0,13,0
"886",1,0,0,0,26,1
"887",1,0,1,0,43,1
"888",1,0,0,0,30,1
"889",1,0,0,1,51,1
"890",1,0,0,0,34,1
"891",1,0,0,0,33,0
"892",1,0,1,0,33,0
"893",1,0,1,0,28,1
"894",1,0,1,0,38,0
"895",1,0,1,0,49,1
"896",1,0,0,0,39,0
"897",1,0,1,0,26,0
"898",1,0,1,0,37,1
"899",1,0,0,1,37,1
"900",1,0,1,0,63,1
"901",1,1,0,0,38,0
"902",1,0,1,0,27,1
"903",1,0,0,1,30,1
"904",1,0,0,0,38,1
"905",1,0,1,0,44,1
"906",1,0,0,0,47,1
"907",1,0,1,0,38,1
"908",1,0,1,0,44,0
"909",1,0,1,1,45,0
"910",1,0,0,0,21,0
"911",1,0,0,0,37,0
"912",1,0,1,0,25,1
"913",1,1,0,0,34,1
"914",1,0,0,0,25,1
"915",1,1,0,0,30,1
"916",1,0,0,0,38,0
"917",1,0,1,1,17,1
"918",1,0,1,0,45,1
"919",1,0,1,0,42,0
"920",1,0,1,1,40,0
"921",1,0,0,0,33,1
"922",1,1,0,0,53,1
"923",1,0,1,0,30,0
"924",1,0,1,0,27,0
"925",1,1,0,0,48,1
"926",1,0,0,0,41,1
"927",1,0,1,0,33,0
"928",1,0,0,0,32,1
"929",1,0,0,0,19,0
"930",1,1,0,0,31,1
