"","x"
"482",0
"483",1
"484",1
"485",1
"486",0
"487",1
"488",0
"489",0
"490",1
"491",0
"492",0
"493",1
"494",0
"495",1
"496",1
"497",0
"498",1
"499",1
"500",0
"501",1
"502",1
"503",1
"504",0
"505",1
"506",1
"507",1
"508",0
"509",1
"510",0
"511",1
"512",0
"513",1
"514",0
"515",1
"516",1
"517",1
"518",0
"519",0
"520",0
"521",1
"522",1
"523",1
"524",0
"525",0
"526",0
"527",0
"528",1
"529",1
"530",0
"531",0
"532",0
"533",0
"534",1
"535",0
"536",1
"537",0
"538",0
"539",0
"540",0
"541",1
"542",0
"543",0
"544",0
"545",1
"546",1
"547",0
"548",1
"549",0
"550",0
"551",0
"552",1
"553",1
"554",1
"555",1
"556",1
"557",0
"558",0
"559",0
"560",1
"561",1
"562",1
"563",1
"564",1
"565",0
"566",1
"567",0
"568",0
"569",0
"570",1
"571",0
"572",1
"573",0
"574",1
"575",1
"576",0
"577",0
"578",1
"579",0
"580",1
"581",1
"582",0
"583",1
"584",1
"585",1
"586",0
"587",1
"588",1
"589",1
"590",1
"591",1
"592",1
"593",1
"594",1
"595",0
"596",1
"597",0
"598",1
"599",1
"600",0
"601",1
"602",1
"603",0
"604",1
"605",0
"606",1
"607",1
"608",1
"609",1
"610",1
"611",1
"612",1
"613",0
"614",0
"615",0
"616",1
"617",1
"618",1
"619",1
"620",1
"621",1
"622",1
"623",1
"624",0
"625",1
"626",1
"627",0
"628",0
"629",0
"630",0
"631",1
"632",0
"633",0
"634",0
"635",1
"636",0
"637",1
"638",0
"639",1
"640",0
"641",1
"642",0
"643",1
"644",1
"645",1
"646",0
"647",0
"648",0
"649",1
"650",1
"651",0
"652",1
"653",0
"654",0
"655",0
"656",1
"657",1
"658",1
"659",0
"660",0
"661",0
"662",1
"663",0
"664",0
"665",0
"666",1
"667",0
"668",0
"669",0
"670",0
"671",1
"672",1
"673",0
"674",0
"675",0
"676",1
"677",1
"678",1
"679",0
"680",0
"681",0
"682",0
"683",0
"684",0
"685",0
"686",0
"687",0
"688",1
"689",0
"690",0
"691",0
"692",0
"693",0
"694",1
"695",1
"696",0
"697",0
"698",0
"699",1
"700",0
"701",0
"702",1
"703",0
"704",0
"705",0
"706",0
"707",0
"708",0
"709",1
"710",1
"711",0
"712",0
"713",0
"714",1
"715",0
"716",1
"717",0
"718",0
"719",1
"720",1
"721",0
"722",0
"723",0
"724",0
"725",0
"726",0
"727",0
"728",0
"729",0
"730",1
"731",1
"732",0
"733",0
"734",0
"735",0
"736",0
"737",0
"738",1
"739",0
"740",0
"741",0
"742",0
"743",0
"744",0
"745",1
"746",0
"747",0
"748",0
"749",1
"750",0
"751",0
"752",0
"753",0
"754",0
"755",0
"756",0
"757",1
"758",0
"759",0
"760",1
"761",1
"762",0
"763",0
"764",0
"765",0
"766",0
"767",0
"768",0
"769",0
"770",0
"771",0
"772",0
"773",1
"774",1
"775",1
"776",1
"777",0
"778",1
"779",0
"780",0
"781",0
"782",0
"783",0
"784",0
"785",0
"786",1
"787",0
"788",0
"789",1
"790",0
"791",0
"792",1
"793",1
"794",0
"795",0
"796",0
"797",0
"798",0
"799",1
"800",1
"801",0
"802",0
"803",0
"804",0
"805",0
"806",1
"807",0
"808",0
"809",0
"810",0
"811",0
"812",0
"813",0
"814",0
"815",0
"816",0
"817",1
"818",0
"819",0
"820",0
"821",0
"822",0
"823",0
"824",1
"825",0
"826",0
"827",0
"828",0
"829",1
"830",0
"831",0
"832",0
"833",0
"834",0
"835",1
"836",0
"837",0
"838",0
"839",0
"840",0
"841",0
"842",0
"843",0
"844",0
"845",0
"846",0
"847",0
"848",0
"849",0
"850",0
"851",0
"852",1
"853",1
"854",0
"855",0
"856",0
"857",0
"858",0
"859",1
"860",1
"861",0
"862",0
"863",1
"864",0
"865",0
"866",0
"867",0
"868",0
"869",0
"870",0
"871",0
"872",1
"873",0
"874",1
"875",1
"876",1
"877",0
"878",0
"879",1
"880",1
"881",0
"882",0
"883",0
"884",0
"885",0
"886",0
"887",0
"888",0
"889",0
"890",0
"891",0
"892",0
"893",0
"894",0
"895",0
"896",0
"897",0
"898",0
"899",0
"900",0
"901",1
"902",0
"903",0
"904",0
"905",0
"906",0
"907",0
"908",0
"909",0
"910",0
"911",0
"912",0
"913",0
"914",1
"915",1
"916",0
"917",0
"918",0
"919",0
"920",0
"921",0
"922",1
"923",0
"924",0
"925",1
"926",0
"927",0
"928",1
"929",0
"930",0
"931",0
"932",0
"933",0
"934",0
"935",1
"936",0
"937",0
"938",0
"939",0
"940",0
"941",1
"942",0
"943",0
"944",0
"945",0
"946",0
"947",1
"948",0
"949",0
"950",0
"951",1
"952",0
"953",0
"954",0
"955",0
"956",0
"957",0
"958",1
"959",0
"960",0
"961",0
"962",0
"963",0
"964",0
"965",0
"966",0
"967",0
"968",0
"969",1
"970",0
"971",0
"972",0
"973",0
"974",0
"975",0
"976",0
"977",0
"978",0
"979",0
"980",0
"981",0
"982",0
"983",0
"984",0
"985",0
"986",0
"987",0
"988",1
"989",0
"990",0
"991",0
"992",0
"993",1
"994",0
"995",1
"996",0
"997",1
"998",0
"999",0
"1000",0
"1001",0
"1002",1
"1003",0
"1004",0
"1005",1
"1006",0
"1007",0
"1008",0
"1009",0
"1010",0
"1011",1
"1012",0
"1013",0
"1014",1
"1015",0
"1016",0
"1017",1
"1018",0
"1019",0
"1020",0
"1021",1
"1022",0
"1023",1
"1024",0
"1025",1
"1026",0
"1027",0
"1028",0
"1029",1
"1030",0
"1031",0
"1032",0
"1033",0
"1034",1
"1035",0
"1036",0
"1037",1
"1038",0
"1039",0
"1040",0
"1041",0
"1042",0
"1043",0
"1044",0
"1045",0
"1046",0
"1047",1
"1048",1
"1049",0
"1050",0
"1051",0
"1052",0
"1053",0
"1054",0
"1055",0
"1056",0
"1057",0
"1058",0
"1059",0
"1060",1
"1061",0
"1062",1
"1063",0
"1064",1
"1065",0
"1066",1
"1067",0
"1068",0
"1069",0
"1070",1
"1071",0
"1072",0
"1073",0
"1074",1
"1075",0
"1076",0
"1077",0
"1078",0
"1079",1
"1080",0
"1081",1
"1082",1
"1083",1
"1084",0
"1085",0
"1086",0
"1087",0
"1088",1
"1089",0
"1090",0
"1091",0
"1092",1
"1093",1
"1094",1
"1095",1
"1096",1
"1097",0
"1098",0
"1099",1
"1100",0
"1101",0
"1102",0
"1103",0
"1104",1
"1105",0
"1106",0
"1107",0
"1108",1
"1109",0
"1110",0
"1111",0
"1112",1
"1113",0
"1114",1
"1115",0
"1116",0
"1117",0
"1118",0
"1119",0
"1120",1
"1121",0
"1122",1
"1123",0
"1124",0
"1125",0
"1126",1
"1127",0
"1128",0
"1129",1
"1130",0
"1131",0
"1132",0
"1133",1
"1134",1
"1135",0
"1136",1
"1137",0
"1138",1
"1139",0
"1140",0
"1141",0
"1142",0
"1143",0
"1144",0
"1145",0
"1146",0
"1147",0
"1148",1
"1149",1
"1150",0
"1151",1
"1152",0
"1153",0
"1154",0
"1155",0
"1156",0
"1157",0
"1158",0
"1159",0
"1160",1
"1161",0
"1162",1
"1163",0
"1164",1
"1165",0
"1166",0
"1167",0
"1168",0
"1169",0
"1170",0
"1171",0
"1172",0
"1173",1
"1174",0
"1175",0
"1176",0
"1177",0
"1178",0
"1179",0
"1180",0
"1181",0
"1182",1
"1183",0
"1184",0
"1185",0
"1186",1
"1187",1
"1188",0
"1189",0
"1190",0
"1191",0
"1192",0
"1193",1
"1194",0
"1195",0
"1196",0
"1197",0
"1198",0
"1199",0
"1200",0
"1201",0
"1202",0
"1203",0
"1204",1
"1205",0
"1206",0
"1207",1
"1208",0
"1209",0
"1210",1
"1211",0
"1212",0
"1213",0
"1214",0
"1215",0
"1216",0
"1217",0
"1218",1
"1219",0
"1220",0
"1221",1
"1222",0
"1223",0
"1224",0
"1225",1
"1226",0
"1227",0
"1228",0
"1229",0
"1230",0
"1231",1
"1232",1
"1233",0
"1234",0
"1235",0
"1236",0
"1237",1
"1238",0
"1239",0
"1240",0
"1241",1
"1242",1
"1243",0
"1244",0
"1245",0
"1246",0
"1247",0
"1248",0
"1249",0
"1250",0
"1251",0
"1252",0
"1253",0
"1254",0
"1255",0
"1256",0
"1257",1
"1258",0
"1259",0
"1260",0
"1261",1
"1262",0
"1263",0
"1264",0
"1265",1
"1266",0
"1267",0
"1268",0
"1269",0
"1270",0
"1271",0
"1272",1
"1273",1
"1274",0
"1275",0
"1276",0
"1277",1
"1278",0
"1279",0
"1280",0
"1281",0
"1282",1
"1283",0
"1284",0
"1285",1
"1286",0
"1287",0
"1288",0
"1289",0
"1290",0
"1291",1
"1292",0
"1293",0
"1294",0
"1295",0
"1296",0
"1297",1
"1298",0
"1299",0
"1300",0
"1301",0
"1302",0
"1303",0
"1304",0
"1305",1
"1306",1
"1307",1
"1308",0
"1309",1
"1310",0
"1311",0
"1312",0
"1313",1
"1314",0
"1315",1
"1316",0
"1317",1
"1318",0
"1319",0
"1320",1
"1321",0
"1322",1
"1323",1
"1324",1
"1325",0
"1326",0
"1327",0
"1328",0
"1329",1
"1330",0
"1331",0
"1332",0
"1333",1
"1334",0
"1335",0
"1336",0
"1337",1
"1338",0
"1339",1
"1340",0
"1341",1
"1342",0
"1343",0
"1344",0
"1345",1
"1346",0
"1347",1
"1348",0
"1349",0
"1350",0
"1351",1
"1352",0
"1353",1
"1354",0
"1355",0
"1356",1
"1357",0
"1358",0
"1359",0
"1360",0
"1361",0
"1362",0
"1363",0
"1364",0
"1365",0
"1366",0
"1367",0
"1368",0
"1369",0
"1370",0
"1371",0
"1372",1
"1373",0
"1374",0
"1375",0
"1376",1
"1377",0
"1378",0
"1379",0
"1380",0
"1381",0
"1382",0
"1383",0
"1384",0
"1385",0
"1386",1
"1387",1
"1388",1
"1389",1
"1390",1
"1391",0
"1392",0
"1393",0
"1394",0
"1395",1
"1396",1
"1397",0
"1398",0
"1399",0
"1400",0
"1401",0
"1402",0
"1403",0
"1404",0
"1405",1
"1406",0
"1407",0
"1408",0
"1409",0
"1410",0
"1411",0
"1412",0
"1413",1
"1414",0
"1415",0
"1416",0
"1417",1
"1418",1
"1419",1
"1420",1
"1421",0
"1422",0
"1423",0
"1424",0
"1425",1
"1426",0
"1427",0
"1428",0
"1429",0
"1430",0
"1431",0
"1432",0
"1433",0
"1434",0
"1435",0
"1436",0
"1437",0
"1438",0
"1439",0
"1440",1
"1441",0
"1442",0
"1443",0
"1444",0
"1445",0
"1446",1
"1447",0
"1448",1
"1449",0
"1450",0
"1451",0
"1452",0
"1453",1
"1454",0
"1455",0
"1456",0
"1457",1
"1458",0
"1459",0
"1460",1
"1461",1
"1462",0
"1463",0
"1464",1
"1465",0
"1466",1
"1467",1
"1468",1
"1469",0
"1470",0
"1471",0
"1472",0
"1473",0
"1474",0
"1475",0
"1476",0
"1477",1
"1478",0
"1479",0
"1480",1
"1481",1
"1482",1
"1483",1
"1484",0
"1485",0
"1486",0
"1487",1
"1488",1
"1489",1
"1490",1
"1491",0
"1492",1
"1493",1
"1494",0
"1495",0
"1496",1
"1497",0
"1498",0
"1499",0
"1500",0
"1501",0
"1502",0
"1503",0
"1504",1
"1505",1
"1506",1
"1507",1
"1508",1
"1509",1
"1510",0
"1511",1
"1512",1
"1513",0
"1514",1
"1515",0
"1516",0
"1517",0
"1518",1
"1519",1
"1520",0
"1521",1
"1522",1
"1523",0
"1524",1
"1525",0
"1526",0
"1527",1
"1528",1
"1529",0
"1530",1
"1531",1
"1532",0
"1533",0
"1534",0
"1535",0
"1536",0
"1537",1
"1538",0
"1539",1
"1540",0
"1541",1
"1542",1
"1543",0
"1544",1
"1545",0
"1546",1
"1547",1
"1548",1
"1549",1
"1550",1
"1551",1
"1552",1
"1553",0
"1554",0
"1555",0
"1556",1
"1557",1
"1558",1
"1559",0
"1560",0
"1561",1
"1562",1
"1563",1
"1564",1
"1565",0
"1566",0
"1567",1
"1568",1
"1569",1
"1570",0
"1571",1
"1572",1
"1573",0
"1574",0
"1575",0
"1576",1
"1577",1
"1578",1
"1579",0
"1580",0
"1581",0
"1582",1
"1583",1
"1584",1
"1585",0
"1586",1
"1587",0
"1588",0
"1589",0
"1590",0
"1591",0
"1592",1
"1593",1
"1594",1
"1595",1
"1596",0
"1597",1
"1598",1
"1599",1
"1600",1
"1601",1
"1602",1
"1603",0
"1604",0
"1605",0
"1606",0
"1607",0
"1608",0
"1609",0
"1610",1
"1611",0
"1612",1
"1613",1
"1614",1
"1615",1
"1616",0
"1617",0
"1618",0
"1619",1
"1620",1
"1621",0
"1622",0
"1623",1
"1624",1
"1625",1
"1626",0
"1627",1
"1628",1
"1629",0
"1630",0
"1631",0
"1632",0
"1633",0
"1634",0
"1635",0
"1636",0
"1637",1
"1638",0
"1639",0
"1640",1
"1641",1
"1642",1
"1643",0
"1644",0
"1645",0
"1646",0
"1647",0
"1648",1
"1649",1
"1650",0
"1651",0
"1652",0
"1653",0
"1654",1
"1655",0
"1656",0
"1657",0
"1658",1
"1659",0
"1660",1
"1661",1
"1662",0
"1663",0
"1664",0
"1665",1
"1666",0
"1667",0
"1668",1
"1669",0
"1670",0
"1671",0
"1672",0
"1673",1
"1674",0
"1675",1
"1676",0
"1677",1
"1678",1
"1679",0
"1680",1
"1681",0
"1682",1
"1683",1
"1684",0
"1685",1
"1686",1
"1687",1
"1688",0
"1689",0
"1690",1
"1691",1
"1692",0
"1693",1
"1694",1
"1695",0
"1696",1
"1697",1
"1698",1
"1699",1
"1700",1
"1701",1
"1702",0
"1703",0
"1704",0
"1705",0
"1706",0
"1707",0
"1708",1
"1709",1
"1710",0
"1711",0
"1712",1
"1713",0
"1714",1
"1715",0
"1716",1
"1717",1
"1718",0
"1719",1
"1720",0
"1721",0
"1722",0
"1723",1
"1724",0
"1725",1
"1726",1
"1727",0
"1728",0
"1729",0
"1730",1
"1731",0
"1732",0
"1733",0
"1734",0
"1735",0
"1736",0
"1737",1
"1738",1
"1739",1
"1740",0
"1741",1
"1742",0
"1743",0
"1744",0
"1745",1
"1746",0
"1747",0
"1748",0
"1749",0
"1750",1
"1751",1
"1752",1
"1753",0
"1754",0
"1755",1
"1756",0
"1757",0
"1758",1
"1759",0
"1760",1
"1761",1
"1762",0
"1763",0
"1764",1
"1765",1
"1766",1
"1767",1
"1768",1
"1769",1
"1770",0
"1771",1
"1772",1
"1773",1
"1774",1
"1775",1
"1776",1
"1777",0
"1778",1
"1779",1
"1780",1
"1781",1
"1782",1
"1783",1
"1784",1
"1785",0
"1786",1
"1787",0
"1788",1
"1789",1
"1790",1
"1791",1
"1792",0
"1793",0
"1794",1
"1795",0
"1796",1
"1797",1
"1798",0
"1799",1
"1800",0
"1801",0
"1802",0
"1803",1
"1804",1
"1805",1
"1806",1
"1807",1
"1808",0
"1809",1
"1810",0
"1811",1
"1812",0
"1813",0
"1814",1
"1815",1
"1816",1
"1817",1
"1818",1
"1819",1
"1820",1
"1821",0
"1822",0
"1823",1
"1824",0
"1825",1
"1826",0
"1827",1
"1828",0
"1829",0
"1830",0
"1831",1
"1832",0
"1833",1
"1834",1
"1835",1
"1836",1
"1837",0
"1838",0
"1839",0
"1840",0
"1841",0
"1842",0
"1843",1
"1844",1
"1845",1
"1846",0
"1847",0
"1848",1
"1849",0
"1850",1
"1851",0
"1852",0
"1853",1
"1854",0
"1855",1
"1856",1
"1857",1
"1858",1
"1859",1
"1860",0
"1861",0
"1862",0
"1863",0
"1864",1
"1865",0
"1866",1
"1867",1
"1868",0
"1869",0
"1870",0
"1871",1
"1872",0
"1873",1
"1874",1
"1875",0
"1876",0
"1877",0
"1878",1
"1879",1
"1880",1
"1881",1
"1882",0
"1883",1
"1884",1
"1885",0
"1886",0
"1887",1
"1888",1
"1889",0
"1890",1
"1891",0
"1892",0
"1893",1
"1894",0
"1895",1
"1896",0
"1897",1
"1898",0
"1899",0
"1900",1
"1901",1
"1902",0
"1903",1
"1904",1
"1905",0
"1906",1
"1907",0
"1908",0
"1909",1
"1910",1
"1911",0
"1912",0
"1913",1
"1914",1
"1915",0
"1916",1
"1917",1
"1918",0
"1919",0
"1920",1
"1921",0
"1922",0
"1923",0
"1924",1
"1925",1
"1926",0
"1927",1
"1928",0
"1929",0
"1930",0
"1931",0
"1932",0
"1933",0
"1934",0
"1935",0
"1936",1
"1937",1
"1938",1
"1939",0
"1940",1
"1941",1
"1942",1
"1943",1
"1944",0
"1945",0
"1946",0
"1947",1
"1948",0
"1949",0
"1950",0
"1951",1
"1952",0
"1953",0
"1954",0
"1955",0
"1956",1
"1957",0
"1958",1
"1959",0
"1960",1
"1961",0
"1962",1
"1963",1
"1964",0
"1965",0
"1966",1
"1967",1
"1968",0
"1969",1
"1970",1
"1971",1
"1972",0
"1973",0
"1974",0
"1975",0
"1976",0
"1977",1
"1978",0
"1979",0
"1980",0
"1981",0
"1982",0
"1983",1
"1984",1
"1985",0
"1986",0
"1987",0
"1988",0
"1989",1
"1990",1
"1991",1
"1992",1
"1993",1
"1994",1
"1995",1
"1996",1
"1997",0
"1998",1
"1999",1
"2000",0
"2001",1
"2002",0
"2003",1
"2004",1
"2005",1
"2006",1
"2007",1
"2008",0
"2009",1
"2010",0
"2011",1
"2012",0
"2013",1
"2014",1
"2015",1
"2016",0
"2017",0
"2018",0
"2019",0
"2020",1
"2021",1
"2022",0
"2023",0
"2024",1
"2025",0
"2026",0
"2027",0
"2028",1
"2029",1
"2030",0
"2031",0
"2032",1
"2033",0
"2034",1
"2035",1
"2036",0
"2037",0
"2038",1
"2039",0
"2040",0
"2041",1
"2042",1
"2043",1
"2044",1
"2045",1
"2046",0
"2047",0
"2048",0
"2049",1
"2050",0
"2051",0
"2052",0
"2053",1
"2054",0
"2055",1
"2056",1
"2057",0
"2058",1
"2059",1
"2060",1
"2061",1
"2062",1
"2063",0
"2064",1
"2065",0
"2066",1
"2067",0
"2068",0
"2069",1
"2070",0
"2071",1
"2072",1
"2073",0
"2074",0
"2075",0
"2076",0
"2077",0
"2078",0
"2079",0
"2080",0
"2081",1
"2082",0
"2083",0
"2084",1
"2085",0
"2086",1
"2087",0
"2088",1
"2089",0
"2090",1
"2091",1
"2092",0
"2093",0
"2094",1
"2095",0
"2096",1
"2097",1
"2098",0
"2099",1
"2100",1
"2101",1
"2102",0
"2103",1
"2104",0
"2105",0
"2106",0
"2107",1
"2108",0
"2109",1
"2110",0
"2111",1
"2112",0
"2113",0
"2114",0
"2115",0
"2116",0
"2117",1
"2118",0
"2119",0
"2120",0
"2121",0
"2122",1
"2123",0
"2124",0
"2125",1
"2126",1
"2127",0
"2128",0
"2129",1
"2130",0
"2131",1
"2132",1
"2133",0
"2134",1
"2135",0
"2136",1
"2137",1
"2138",0
"2139",0
"2140",1
"2141",0
"2142",1
"2143",1
"2144",0
"2145",0
"2146",0
"2147",1
"2148",1
"2149",1
"2150",0
"2151",1
"2152",0
"2153",1
"2154",1
"2155",0
"2156",0
"2157",1
"2158",0
"2159",1
"2160",1
"2161",0
"2162",1
"2163",1
"2164",1
"2165",1
"2166",1
"2167",1
"2168",0
"2169",1
"2170",1
"2171",1
"2172",1
"2173",0
"2174",0
"2175",0
"2176",0
"2177",1
"2178",0
"2179",0
"2180",0
"2181",1
"2182",0
"2183",0
"2184",0
"2185",1
"2186",1
"2187",0
"2188",0
"2189",1
"2190",0
"2191",0
"2192",0
"2193",1
"2194",1
"2195",0
"2196",0
"2197",0
"2198",1
"2199",0
"2200",0
"2201",0
"2202",0
"2203",1
"2204",1
"2205",1
"2206",0
"2207",1
"2208",1
"2209",1
"2210",0
"2211",0
"2212",1
"2213",1
"2214",1
"2215",0
"2216",1
"2217",1
"2218",1
"2219",0
"2220",1
"2221",0
"2222",0
"2223",1
"2224",0
"2225",1
"2226",1
"2227",0
"2228",1
"2229",1
"2230",0
"2231",1
"2232",1
"2233",0
"2234",1
"2235",1
"2236",0
"2237",1
"2238",0
"2239",1
"2240",0
"2241",1
"2242",1
"2243",0
"2244",1
"2245",1
"2246",1
"2247",1
"2248",1
"2249",0
"2250",0
"2251",0
"2252",0
"2253",1
"2254",1
"2255",0
"2256",0
"2257",1
"2258",0
"2259",0
"2260",1
"2261",0
"2262",1
"2263",0
"2264",1
"2265",1
"2266",1
"2267",1
"2268",0
"2269",0
"2270",1
"2271",1
"2272",1
"2273",1
"2274",0
"2275",0
"2276",0
"2277",0
"2278",1
"2279",0
"2280",0
"2281",1
"2282",1
"2283",0
"2284",0
"2285",1
"2286",1
"2287",0
"2288",0
"2289",0
"2290",0
"2291",1
"2292",0
"2293",1
"2294",1
"2295",1
"2296",0
"2297",1
"2298",0
"2299",0
"2300",1
"2301",1
"2302",1
"2303",0
"2304",1
"2305",1
"2306",0
"2307",1
"2308",0
"2309",0
"2310",0
"2311",1
"2312",0
"2313",0
"2314",0
"2315",1
"2316",0
"2317",1
"2318",0
"2319",0
"2320",0
"2321",0
"2322",1
"2323",0
"2324",1
"2325",0
"2326",1
"2327",0
"2328",1
"2329",1
"2330",1
"2331",1
"2332",1
"2333",1
"2334",0
"2335",1
"2336",0
"2337",0
"2338",0
"2339",0
"2340",0
"2341",1
"2342",1
"2343",1
"2344",0
"2345",1
"2346",0
"2347",1
"2348",1
"2349",0
"2350",0
"2351",0
"2352",0
"2353",0
"2354",1
"2355",1
"2356",0
"2357",1
"2358",0
"2359",0
"2360",0
"2361",0
"2362",0
"2363",0
"2364",1
"2365",1
"2366",1
"2367",0
"2368",1
"2369",0
"2370",1
"2371",1
"2372",0
"2373",0
"2374",0
"2375",0
"2376",0
"2377",0
"2378",1
"2379",1
"2380",0
"2381",1
"2382",0
"2383",1
"2384",0
"2385",0
"2386",1
"2387",1
"2388",1
"2389",0
"2390",0
"2391",0
"2392",1
"2393",0
"2394",1
"2395",0
"2396",1
"2397",1
"2398",1
"2399",0
"2400",0
"2401",1
"2402",1
"2403",1
"2404",0
"2405",1
"2406",0
"2407",1
"2408",1
"2409",0
"2410",0
"2411",0
"2412",1
"2413",1
"2414",1
"2415",1
"2416",0
"2417",1
"2418",1
"2419",1
"2420",0
"2421",1
"2422",1
"2423",1
"2424",1
"2425",0
"2426",1
"2427",1
"2428",0
"2429",1
"2430",1
"2431",0
"2432",1
"2433",0
"2434",1
"2435",1
"2436",1
"2437",0
"2438",0
"2439",1
"2440",1
"2441",0
"2442",0
"2443",1
"2444",0
"2445",1
"2446",1
"2447",1
"2448",0
"2449",0
"2450",0
"2451",1
"2452",0
"2453",0
"2454",0
"2455",0
"2456",0
"2457",1
"2458",0
"2459",1
"2460",0
"2461",1
"2462",1
"2463",1
"2464",1
"2465",0
"2466",0
"2467",0
"2468",0
"2469",0
"2470",0
"2471",0
"2472",0
"2473",1
"2474",0
"2475",1
"2476",1
"2477",1
"2478",0
"2479",1
"2480",0
"2481",0
"2482",0
"2483",1
"2484",1
"2485",1
"2486",1
"2487",1
"2488",0
"2489",1
"2490",1
"2491",0
"2492",1
"2493",0
"2494",1
"2495",0
"2496",1
"2497",1
"2498",0
